Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/1/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15335972268,17815464919,22006470861,29444365310,35104529078,39962704274,42856485618,51421585630,61902774946,73759181884,81861232823,70863106877,71103585384,71947277233,67821568599,69219621907,98797587382,1.23869E+11,1.33018E+11,1.32785E+11,1.66062E+11,1.73376E+11,1.94608E+11,1.89921E+11,2.03045E+11,2.40458E+11,2.3672E+11,2.12323E+11,2.17684E+11,2.16725E+11,1.96422E+11,1.96954E+11,2.12971E+11,2.60721E+11,2.99857E+11,3.14649E+11,3.34309E+11,3.86459E+11,4.27612E+11,3.97594E+11,3.90235E+11,4.29011E+11,4.07452E+11,4.28248E+11,4.38376E+11,3.7695E+11,
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006036,8792365811,4991350458,3973027397,3313739674,3052467522,3176749593,3962710163,4446396218,4581222442,5272617196,5707618247,6236024951,7275766111,8680511918,13245421881,20983019924,33050343783,48852482960,44291490421,52902703376,65951627200,68730906314,73560484385,75198010965,53047140347,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999990,202999992,213500006,232749998,260750008,158994963,165444571.4,178297142.9,183200000,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222,1082926304,987143931.2,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117257279,1273180597,1356078278,1611634332,1739781489,2026864469,2355652126,2472384907,2714505635,3093647227,3097324740,
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11658722591,12400145222,13264015675,14260017387,15960106681,17371457608,18651883472,19992040788,21376353113,23710735895,26849148286,29981290025,37408591330,47999363072,56333010460,66029748931,71494539498,83283328419,1.01788E+11,1.16938E+11,1.27508E+11,1.05291E+11,92588895020,87650915976,83795680815,86730038793,1.20661E+11,1.50194E+11,1.63168E+11,1.651E+11,2.06431E+11,2.11638E+11,2.36038E+11,2.25925E+11,2.46195E+11,2.89567E+11,2.81358E+11,2.54814E+11,2.60602E+11,2.60202E+11,2.37905E+11,2.37842E+11,2.5886E+11,3.19003E+11,3.70885E+11,3.87366E+11,4.09813E+11,4.71821E+11,5.18626E+11,4.84553E+11,4.83577E+11,5.26976E+11,4.97884E+11,5.20092E+11,5.31762E+11,4.55086E+11,
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195579.4,235668222.4,236434906.8,253927646.5,269818988.3,289908720.6,302925280.8,306222000.4,326323097.4,330748211.5,333627758.2,335072975.2,410331901,504376035.7,554654787,676870140.3,698408244.4,750049739.2,928843304.8,1186231265,1405251547,1291119965,1267778489,1095348303,1051133927,1045712703,1336102041,1562412030,1620246187,1502294411,1959965244,1986437860,1695315306,2274557914,1598075932,2169627251,2361116588,2268301538,2455092582,2689787918,2569186643,2680213931,3054571082,3905366188,4521424807,4803702821,5142380779,5969535132,7132787397,7097198712,6970240895,7814081156,8152554487,9156748441,9707432016,8290986804,
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442817.2,350247237.1,379567178.3,394040749.1,410321785.6,422916848.4,433889831.6,450753993.2,460442864.2,478298781.5,458404330.1,482411279,578595584,674773821.2,751133642.6,939972703.5,976547572.2,1131225279,1475584037,1748480982,1928720390,1775842680,1754450379,1600278756,1459880353,1552493414,2036303381,2369835439,2616040646,2615588546,3101301781,3135045684,2240264712,2332018011,1895290965,2379518099,2586550747,2447669404,2804902724,2991748387,2628920056,2812532813,3207747086,4098643482,4839877684,5458343594,5843872989,6762399883,8350808397,8148059794,8988623686,10746062858,11166654261,11930742614,12257141798,10678201939,
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274893913,4817580184,5081413340,5319458351,5386054619,5906636557,6439687598,7253575399,7483685473,8471006101,8992721809,8751842840,6288245867,8086725729,12512460520,19448348073,10117113333,9651149302,13281767143,15565480322,18138049096,20249694002,18525399202,17609048822,18920840000,22278423077,21774033333,24298032258,26579005760,28781714764,31598341234,30957483291,31708873955,33166520085,33768662171,37939748051,46438482370,48244308275,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02478E+11,1.15279E+11,1.28638E+11,1.33356E+11,1.4999E+11,1.72885E+11,1.95079E+11,
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,19839230769,19870000000,19342000000,16563666667,17594944444,17155421053,20249294118,28101000000,22555941176,21988444444,20632090909,10943548387,10350515464,10829710145,9697416974,13063422619,10109404160,11195630537,14630974778,13495062850,13148099185,14135393876,16360346654,21074775206,26094622564,29821662537,34304448150,44765733380,54666642734,51783454184,50610031136,57418391042,53903028252,55758744571,56732006512,50199117547,
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,3072698328,3467819149,3645744681,3735106383,3905585106,3651861702,3052393617,3392021011,3702393617,3863563830,4229787234,4616223404,4751063830,5200265957,5567553457,5849467819,6101861436,6349202394,6183776596,6621010372,9062906915,8976207713,9632155053,11074822074,13150166755,15968726862,18505053191,21730000000,25710877660,22938218085,25713271277,28776595745,30749308511,32539441489,33387712766,31125851064,
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169803921.6,190098039.2,212254902,237745098,266666666.7,300392156.9,340000000,390196078.4,444901960.8,528137254.9,538423153.7,573400000,590900000,670900000,632400000,596200000,642100000,713000000,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,4961119000,5353524000,6019972000,6327552000,6516651000,6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8246650000,7820420000,7909580000,7889750000,8399031000,8521997500,8617738100,8853519100,
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802469,1866572954,2786045322,3671816504,4116699437,4685729739,5505984456,5748990666,6651226179,8370020196,10022840635,11225138297,12866524918,15776422673,19101454464,17600630727,17163117551,18628022743,17207367626,18154290272,18523988467,16191716215,
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17369598958,17813389815,17022180272,16280372553,14931599418,13972637603,14756861538,14128412417,15222014828,12138485329,12736856485,12354820144,14594925393,17825436035,23141587718,30210091837,36961821894,45275747861,60752177439,49208656976,55220932614,59734593905,63615445567,73097619637,76103961203,54608962635,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28071888.56,29964370.71,31856922.86,33749405.01,36193826.12,40069930.07,44405594.41,47379310.34,44910179.64,47305389.22,53233532.93,59207317.07,66062500,78343558.28,103216374.3,118066298.3,96905829.6,117650000,136300000,151800000,194750000,192900000,179250000,189000000,210900000,209150000,227850000,276550000,314900000,363150000,413050000,444720750,518239100,559858250,580863700,620140400,641383800,654314350,688992450,732732350,832072450,871860600,932551850,990374038.9,1057845487,1114222546,1217467601,1290573397,1369603994,1338515648,1398362216,1488894465,1573867324,1625828112,1717861730,1752861128,
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,84466654.08,89249986.7,94149985.97,96366652.31,107566650.6,114339049,134173373.8,155102984.6,150000000,164900000,186300000,211100000,235400000,269500000,312600000,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634899968,1679900032,1820359936,1867160064,2030749952,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000,5744414000,5550771000,5537537000,5573710000,,,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,563110051.9,612518906.8,669722541.3,721142957.3,812543072.5,908874537,994044553.9,1084059815,908874537,964615698.7,1017171717,1095454545,1257615645,1263018491,2100249875,2404697651,2732083958,3227436282,3758220890,4421343606,4537487843,5891606676,5594118400,5422656262,6169481549,5377277407,3959379488,4347956299,4597615563,4715978868,4867582620,5343274312,5643893347,5734676561,5981244887,6715220507,7396966657,7925673448,8497545598,8285075872,8397912509,8141537938,7905485216,8082364868,8773451739,9549077869,11451869165,13120159976,16674357239,17340028490,19649692876,23963096439,27084515195,30659334298,32996237337,32997684515,
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,1.83786E+11,2.13196E+11,2.00567E+11,2.18581E+11,2.66314E+11,2.93364E+11,3.30301E+11,4.25595E+11,4.61952E+11,6.0286E+11,4.00599E+11,4.37799E+11,5.58112E+11,7.85643E+11,8.50426E+11,8.83199E+11,8.63723E+11,5.99389E+11,6.55421E+11,5.59373E+11,5.07963E+11,5.5832E+11,6.69316E+11,8.9163E+11,1.10764E+12,1.39708E+12,1.69582E+12,1.66702E+12,2.20887E+12,2.61457E+12,2.46066E+12,2.46577E+12,2.41705E+12,1.77472E+12,
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,1012264036,1114104642,1164059790,1235775211,1347033587,1409740726,1547790025,1704440883,1812891396,2006394477,2012302520,2020744654,1957168344,2063267996,2151285060,2261996995,2411846465,2549260575,2874413287,3012021852,3121619808,3116632413,3169612598,3274856571,3514370691,3897467234,4303275572,4546115388,4595264666,4601200363,4446829723,4358920098,4332141067,4371196623,4352734313,4385250000,
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,114040245.7,132758395.4,139030445.6,160819286.6,161211289.7,179080099.3,197523179.2,270818555.8,433092003.6,1073577086,1168304306,1423061357,1732721161,1941600704,2803780006,4928824958,4366213850,4264252336,3844723142,3782523088,3523612563,2358592817,2754463438,2690717551,2985467979,3520551724,3701667053,4183548189,4105706152,4087337960,4734020037,5115602837,5197332974,4051147228,4600000000,6001153306,5601090584,5843329108,6557333085,7872333215,9531402848,11470703002,12247694247,14393099069,10732366286,13707370737,18525319978,19048495519,18093829923,17123125493,12930394938,
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,135653295.2,146391639.7,148934334,165585940.6,169264991.2,172217502,201375725.6,253182453.7,283855833.3,275949889.1,299787275.8,250045839.9,250794359.6,235239570.4,270801565.2,303053462.8,316420860.9,365964500.1,376955087.3,419035810.5,439158233.2,476360697.2,537050133.7,622026107.8,702682019,818869145.1,897731524.9,1196091805,1258332337,1264758198,1585472534,1820207626,1823692110,1798333726,1958819915,2057947621,
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,30411418.68,32902592.84,35644931.94,38091832.99,41616368.32,45788670.69,51465624.41,58642385.24,66248426.99,77361532.99,96243298.14,126954476.9,165253183.6,244124115.7,306044205.9,355168715.4,372025093.4,451624959.6,590407375.2,819870595.1,1060889705,1073812404,1014945861,1172230576,1240821849,1114783538,1392602040,1965227085,2644554882,3083822367,3790636664,3942792837,4146513722,4160086253,4259330999,4730611067,4847752843,5020214747,4790458837,5484257417,5788329609,5489608300,5438857107,7511582173,8957467707,9931134941,10126940513,10939053367,10945070448,10267133184,12786654370,15682926890,14686278714,14814761248,15880203581,14389717321,
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,112155598.9,123134584.5,124482748.9,129379097.9,142025069.5,150574816.3,157930041.9,163820538.9,191767437,188039191.3,189106554.5,201450768.4,230317908,271183061.4,281398668.2,378660016.3,451152450,507298120.7,610578523.8,700764892.7,797048028.8,694803502.7,748312283.7,658679394.9,637820620.7,864849765.1,1122265026,1200991826,1264899368,1233930277,1440711396,1377375031,1411917558,1278781167,851174350.6,1115389732,1007791186,937741468,967338348.7,999477510.7,914500299.1,931833302.8,991387870.1,1139754799,1270080251,1350301057,1460562038,1698125618,1985370058,1981728141,1986014846,2212699747,2184183758,1518565219,1702898940,1583776760,
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,41093453545,40767969454,41978852041,44657169109,48882938810,53909570342,60358632035,64768831262,70759031842,77887510242,87896095224,99271961478,1.13083E+11,1.31322E+11,1.60409E+11,1.73834E+11,2.06576E+11,2.11612E+11,2.18633E+11,2.43072E+11,2.73854E+11,3.06215E+11,3.13507E+11,3.40548E+11,3.55373E+11,3.64756E+11,3.77438E+11,4.31317E+11,5.07354E+11,5.65056E+11,5.9393E+11,6.10328E+11,5.92388E+11,5.77171E+11,5.78139E+11,6.04032E+11,6.28546E+11,6.52825E+11,6.31813E+11,6.76083E+11,7.42293E+11,7.3638E+11,7.57951E+11,8.92381E+11,1.0232E+12,1.16936E+12,1.31542E+12,1.46498E+12,1.54913E+12,1.37115E+12,1.61341E+12,1.7887E+12,1.82429E+12,1.83744E+12,1.78378E+12,1.55054E+12,
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56114E+11,2.42632E+11,2.59823E+11,2.73915E+11,3.10703E+11,3.86115E+11,4.1263E+11,4.08895E+11,4.47448E+11,4.33915E+11,4.2755E+11,4.68162E+11,5.27146E+11,6.34284E+11,7.62452E+11,8.85748E+11,1.00194E+12,1.26096E+12,1.5232E+12,1.27985E+12,1.3128E+12,1.44646E+12,1.35074E+12,1.42129E+12,1.46181E+12,1.2815E+12,
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,9522746719,10712712465,11879982759,13063643796,14480556572,15346741670,16480058705,17740013179,18942729779,20524886616,,,,,,,,,,,1.1871E+11,1.08721E+11,1.11432E+11,1.11036E+11,1.06019E+11,1.07496E+11,1.54096E+11,1.92982E+11,2.08774E+11,2.01573E+11,2.5742E+11,2.6046E+11,2.71134E+11,2.63691E+11,2.91914E+11,3.41759E+11,3.29619E+11,2.86604E+11,2.94978E+11,2.89884E+11,2.7166E+11,2.78629E+11,3.01128E+11,3.51983E+11,3.93542E+11,4.07536E+11,4.29196E+11,4.77408E+11,5.51547E+11,5.39528E+11,5.81212E+11,6.96312E+11,6.65054E+11,6.84835E+11,7.02706E+11,6.7079E+11,
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5945677377,6262740657,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,,,,,,,,,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,4050727273,4529818182,5337818182,5605562500,5861521739,5971875000,6925641026,6870588235,7050724638,8196511628,8962831858,10702459016,11551923077,16397067039,15536336032,7226476864,9857547847,13359145455,15399431311,20729772209,27572307600,32644872979,24339421605,19770402076,19232737055,16486012247,17722536671,20902096532,24640912616,28385038397,31558927517,36424168146,44467946384,47693992627,55154226760,71349202309,75769008174,82808986192,79373597080,72995286764,79328640264,72336972322,70984568429,77840186385,1.00631E+11,1.24404E+11,1.54671E+11,1.73081E+11,1.79627E+11,1.71957E+11,2.17538E+11,2.50832E+11,2.65232E+11,2.77079E+11,2.58733E+11,2.40796E+11,
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,59716467625,50056868958,47209359006,50706799903,59708343489,70436266147,76720285970,72881631327,70846535056,79705906247,92602973434,99800958648,1.13688E+11,1.38544E+11,1.44182E+11,1.63432E+11,1.5394E+11,1.74938E+11,1.49541E+11,1.78283E+11,1.9115E+11,1.95865E+11,2.05092E+11,2.30686E+11,2.59946E+11,3.09486E+11,3.00759E+11,2.72973E+11,3.12354E+11,3.47767E+11,3.60859E+11,3.83373E+11,4.26915E+11,4.44731E+11,5.64325E+11,7.34548E+11,8.63746E+11,9.61603E+11,1.02904E+12,1.094E+12,1.21135E+12,1.3394E+12,1.47055E+12,1.66029E+12,1.95535E+12,2.28597E+12,2.75213E+12,3.55218E+12,4.59821E+12,5.10995E+12,6.10062E+12,7.57255E+12,8.56055E+12,9.60722E+12,1.04824E+13,1.10077E+13,
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,546203561.6,618245639.2,645284344.7,761047045.8,921063266.4,919771356.4,1024103034,1082922892,1281281246,1361360157,1455482990,1584128262,1849400600,2508421235,3070151901,3893839190,4662053708,6265067858,7900524898,9142935858,10175615442,8432588484,7567109767,6838185419,6841638715,6977650069,9158302205,10087653189,10255170460,9757410614,10795850107,10492628915,11152971316,11045759469,8313557450,11000146839,12139234939,11722142706,12612033729,12376639823,10717022463,11192560827,12346919216,15306602560,16554441847,17084928927,17800887796,20343635320,24224903100,24277493862,24884505035,25381616734,27040562587,31264187110,34217693110,31759248868,
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,618740988,657597382.8,699373701.2,723624365.3,782384527.8,814139855.8,853268771.1,934079050.3,1053077155,1152418515,1160002261,1233991075,1430951332,1758727395,2255496995,2752771044,3076592431,3366368665,4409920644,5811444661,6740756569,7636345827,7322914570,7381854747,7801858825,8148223604,10621158533,12302471429,12493286762,11140055364,11151578051,12434370005,11396310990,13532137228,9220470913,8733231184,9732328116,9840553236,9629649417,10486451144,9287367235,9633109350,10879778384,13621738837,15775357015,16587858857,17953066721,20431780378,23322254114,23381142147,23622483984,26587311528,26472056038,29567504655,32050817633,28415950981,
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,131731862.6,151675739.2,166521239.9,172233430.9,185693724.8,198318063.9,220613582.4,237397428.3,251247458,265040036.1,274960699.9,322128019.3,410669262.9,541973362.5,585364635.4,767102679,754549600.5,765224030.6,878771771.3,1198749666,1705796850,1993512326,2160640567,2097274290,2193581366,2160872541,1849268215,2297753649,2212536313,2389593022,2798746051,2724853508,2933222706,1918970178,1769365439,2116003868,2540697538,2322719101,1949481381,2353909442,3219910666,2794259756,3019993723,3495868725,4648628840,6087002682,7731261311,8394688284,11859014004,9593536531,12007880590,14425607224,13677930124,14085852120,14177437627,8553154506,
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,4040948154,4552914000,4968603736,4838841456,5992169467,5790247619,5452762963,5727195020,5918455410,6405427874,7198360460,7820380971,8671358733,10315760000,12370029584,13098633902,15341403660,19470960619,23263511958,27940411250,33400735644,36388366869,38968039722,38729822782,38253120738,34894411352,34942489684,36373307085,39212550050,39540080200,40274204595,41239551378,49279585355,55802538219,81703500846,92507279383,97160109278,1.0666E+11,98443739941,86186158685,99886577331,98203546156,97933391976,94684584163,1.17075E+11,1.46566E+11,1.6259E+11,2.07416E+11,2.43982E+11,2.33822E+11,2.87018E+11,3.35415E+11,3.6966E+11,3.80192E+11,3.78416E+11,2.9208E+11,
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,123505640.9,114271897.3,107089552.3,111519676,107489822.7,114490697.6,162487763.9,196433684,207476554.8,198733185.9,250030760.8,246823428.9,266191040.4,263568114.4,185761822.6,231896229.6,230495751.4,212099634.7,215394066.1,222580453.8,203846427.7,220093812.2,246737679.5,317562269.4,368143118.7,380372892.6,406111873.5,462453582.9,523134897,524157261,530493353.2,586281766.8,570865941.2,618663921.8,647720707.1,565689764.5,
